PPAP Number,PPAP Req'd by Customer,Current Status,PPAP/IMDS from,FK_Customer_ID,Country,Rev,IMDS number,PPAP docs,Level,PPAP samples status,Reason of Submission,Sent to Customer,PSW returned from Cust Signed,Origin from report,Comments,INSPECTION REPORT NUMBER
PP00026-36,2/8/2024,Approved 2024,VEN025,5642,Mexico,,1184725334 / 2,,1,n/a,Annual Validation,3/15/2024,3/25/2024,,,#N/D
PP00026-37,2/8/2024,Approved 2024,VEN025,5644,Mexico,,1184722921 / 2,,1,n/a,Annual Validation,3/15/2024,3/25/2024,,,#N/D
PP00028-73,2/14/2024,Approved 2024,VEN329,56,North America,58,1303588700,,4,n/a,Initial Submission,3/5/2024,7/3/2024,,,0
PP00027-25,2/19/2024,Approved 2024,VEN238,4581,Europe,19,1289710429,,4,approved,Initial Submission,3/19/2024,5/9/2024,,,#N/D
PP00028-74,2/20/2024,Approved 2024,VEN329,57,North America,58,1303589769,,4,requested,Initial Submission,3/5/2024,3/22/2024,,,#N/D
PP00042-0023,2/20/2024,Approved 2024,VEN329,3790,Mexico,6,1311500752,,4,requested,Initial Submission,3/20/2024,11/4/2024,,,#N/D
PP00030-14,2/26/2024,IMDS submited to customer,VEN329,4288,Mexico,,1304247396,,,n/a,IMDS requested,2/26/2024,,,,#N/D
PP00034-27,2/28/2024,Approved 2024,VEN329,4765,Mexico,20,1313310200,,4,n/a,Initial Submission,3/27/2024,3/27/2024,,,#N/D
PP00028-04,2/29/2024,Approved 2024,VEN238,5309,North America,12,1205276080,3/15/2023,1,n/a,Annual Validation,3/27/2024,9/8/2024,,,#N/D
PP00054-01,2/29/2024,Approved 2024,VEN329,82,Mexico,58,1313260542 / 1,3/22/2024,4,requested,Initial Submission,3/26/2024,2/4/2024,,,#N/D
PP00026-38,2/29/2024,Approved 2024,VEN025,5646,Mexico,,,3/22/2024,1,n/a,Annual Validation,3/27/2024,2/4/2024,,,#N/D
PP00026-39,2/29/2024,Approved 2024,VEN025,5648,Mexico,,,3/22/2024,1,n/a,Annual Validation,3/27/2024,2/4/2024,,,#N/D
PP00045-03,2/29/2024,Approved 2025,VEN329,4726,Mexico,22,1313989235,3/22/2024,4,requested,Initial Submission,3/28/2024,7/31/2025,,,#N/D
PP00045-04,2/29/2024,Approved 2025,VEN329,4728,Mexico,22,1313992454,3/22/2024,4,requested,Initial Submission,3/28/2024,7/31/2025,,,PR2025013
PP00042-0020,3/5/2024,PSW Pending Approve,VEN329,3805,Mexico,6,1290147080,9/1/2024,4,approved,Initial Submission,4/4/2024,,,,#N/D
PP00034-28,3/11/2024,PSW Pending Approve,VEN025,4742,Mexico,,1037658419,3/22/2024,1,n/a,Annual Validation,4/9/2024,,,,#N/D
PP00028-05,3/24/2024,Approved 2024,VEN238,5312,North America,9,1214724948,,1,n/a,Annual Validation,4/16/2024,4/16/2024,,,#N/D
PP00028-75,3/26/2024,PSW Pending Approve,VEN238,4017,North America,44,1201795555,3/3/2023,4,n/a,Initial Submission,4/16/2024,,,,#N/D
PP00028-10,4/3/2024,Approved 2024,VEN238,47,North America,38,1128113771/2,,1,n/a,Annual validation,4/4/2024,4/4/2024,,,0
PP00053-08,4/9/2024,Approved 2024,VEN329,3967,Mexico,19,1341663938 / 1,4/15/2024,4,requested,Initial Submission,7/11/2024,7/23/2024,,,#N/D
PP00053-09,4/9/2024,Approved 2024,VEN238,3972,Mexico,48,1339545765 / 1,8/7/2024,4,approved,Initial Submission,7/11/2024,7/23/2024,,,#N/D
PP00028-06,4/12/2024,Approved 2024,VEN238,43,North America,38,1202433545,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-29,4/12/2024,Approved 2024,VEN238,5350,North America,38,1165241549,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-31,4/12/2024,Approved 2024,VEN238,46,North America,38,1151962414,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-37,4/12/2024,Approved 2024,VEN238,5357,North America,38,1173684082,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,0
PP00028-40,4/12/2024,Approved 2024,VEN238,38,North America,38,1132173549,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,0
PP00028-42,4/12/2024,Approved 2024,VEN238,5366,North America,38,1173684862,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-45,4/12/2024,Approved 2024,VEN238,5372,North America,38,1173683423,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-49,4/12/2024,Approved 2024,VEN238,5376,North America,38,1179806659,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-57,4/12/2024,Approved 2024,VEN238,49,North America,38,1161359076,,1,n/a,Annual Validation,4/16/2024,4/19/2024,,,#N/D
PP00028-71,4/12/2024,Approved 2024,VEN238,5400,North America,38,1152763196,,1,n/a,Annual Validation,4/16/2024,4/22/2024,,,#N/D
PP00028-72,4/17/2024,Approved 2024,VEN329,5403,North America,23,1309072701,,4,n/a,Initial Submission,4/17/2024,4/23/2024,,,#N/D
PP00028-76,4/19/2024,Approved 2024,VEN238,5405,North America,,1326974042,1/5/2024,4,requested,Initial Submission,5/24/2024,6/20/2024,,,#N/D
PP00028-77,4/19/2024,Approved 2024,VEN238,5407,North America,10,1326975182,1/5/2024,4,requested,Initial Submission,5/29/2024,6/20/2024,,,#N/D
PP00028-78,4/19/2024,Approved 2024,VEN329,5409,North America,19,1326975674/2,10/5/2024,4,requested,Initial Submission,5/29/2024,6/20/2024,,,#N/D
PP00028-79,4/19/2024,Approved 2024,VEN329,5411,North America,19,1326976042,10/5/2024,4,requested,Initial Submission,5/29/2024,6/21/2024,,,#N/D
PP00028-80,4/19/2024,Approved 2024,VEN329,5413,North America,19,1326977769,10/5/2024,4,requested,Initial Submission,5/29/2024,6/21/2024,,,#N/D
PP00027-27,4/26/2024,Approved 2024,VEN238,5580,Europe,25,1328900679 / 1,1/5/2024,4,requested,Initial Submission,5/31/2024,8/27/2024,,,#N/D
PP00026-40,5/2/2024,Approved 2024,VEN329,5649,Mexico,60,1328900853,10/5/2024,4,requested,Initial Submission,5/30/2024,5/31/2024,,,#N/D
PP00028-07,5/5/2024,Approved 2024,VEN329,5315,North America,59,1210982220,,1,n/a,Annual validation,5/6/2024,5/20/2024,,,#N/D
PP00034-29,5/9/2024,Approved 2024,VEN329,4794,Mexico,19,1329794244,11/5/2024,4,requested,Initial Submission,6/4/2024,10/6/2024,,,#N/D
PP00034-30,5/15/2024,PSW Pending Approve,VEN329,4772,Mexico,60,1329808894,,4,n/a,Initial Submission,6/4/2024,,,,#N/D
PP00047-06,5/17/2024,PSW Pending Approve,VEN329,5513,Mexico,24,1331806528,3/6/2024,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00047-07,5/17/2024,PSW Pending Approve,VEN329,5514,Mexico,24,1331819393,3/6/2024,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00047-08,5/17/2024,PSW Pending Approve,VEN329,5515,Mexico,24,1331819907,3/6/2024,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00047-09,5/17/2024,PSW Pending Approve,VEN329,5516,Mexico,24,1331822362,3/6/2024,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00047-10,5/17/2024,PSW Pending Approve,VEN025,5517,Mexico,,,6/6/2024,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00047-05,5/17/2024,PSW Pending Approve,VEN329,5512,Mexico,24,1331804020,,4,requested,Initial Submission,6/13/2024,,,,#N/D
PP00055-16,5/20/2024,Approved 2025,VEN329,5679,Philippines,19,1337421755 / 3,7/2/2023,4,Requested,Initial Submission,9/30/2024,9/12/2024,,,#N/D
PP00055-19,5/20/2024,Approved 2025,VEN329,5682,Philippines,19,1337423492 / 3,9/25/2023,4,Requested,Initial Submission,9/27/2024,9/12/2024,,,#N/D
PP00055-18,5/20/2024,Approved 2025,VEN329,5681,Philippines,19,1337423036 / 3,11/28/2023,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,#N/D
PP00055-04,5/20/2024,Approved 2025,VEN329,5667,Philippines,61,1337022299 / 3,1/15/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,#N/D
PP00055-06,5/20/2024,Approved 2025,VEN329,5669,Philippines,61,1337022952 / 3,1/15/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,#N/D
PP00055-01,5/20/2024,Approved 2025,VEN329,5664,Philippines,61,1336179295 / 3,4/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-03,5/20/2024,Approved 2025,VEN329,5666,Philippines,61,1337022007 / 3,4/6/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,PR2025009
PP00055-05,5/20/2024,Approved 2025,VEN329,5668,Philippines,61,1337022427 / 3,4/6/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,#N/D
PP00055-30,5/20/2024,Approved 2025,VEN329,5692,Philippines,19,1337035166 / 1,6/6/2024,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,0
PP00055-32,5/20/2024,Approved 2025,VEN329,5694,Philippines,19,1337421218 / 1,6/6/2024,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,#N/D
PP00055-27,5/20/2024,Approved 2025,VEN329,5689,Philippines,19,1337034879 / 1,6/6/2024,4,Requested,Initial Submission,8/30/2024,10/9/2024,,,#N/D
PP00055-29,5/20/2024,Approved 2025,VEN329,5691,Philippines,19,1337034991 / 1,6/6/2024,4,Requested,Initial Submission,9/10/2024,10/9/2024,,,#N/D
PP00055-25,5/20/2024,Approved 2025,VEN329,5687,Philippines,19,1337034562 / 1,6/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-26,5/20/2024,Approved 2025,VEN329,5688,Philippines,19,1335044010 / 2,6/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-28,5/20/2024,PSW Pending Approve,VEN329,5690,Philippines,19,1337034942 / 1,6/6/2024,4,Requested,Initial Submission,9/10/2024,,,,#N/D
PP00055-10,5/20/2024,Approved 2025,VEN329,5673,Philippines,61,1337024090 / 3,7/6/2024,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,#N/D
PP00055-07,5/20/2024,Approved 2025,VEN329,5670,Philippines,61,1337023491 / 3,7/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-08,5/20/2024,Approved 2025,VEN329,5671,Philippines,61,1337023603 / 3,7/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-11,5/20/2024,Approved 2025,VEN329,5674,Philippines,61,1337024150 / 3,7/6/2024,4,Requested,Initial Submission,9/26/2024,9/12/2024,,,#N/D
PP00055-12,5/20/2024,Approved 2025,VEN329,5675,Philippines,61,1337024257 / 3,7/6/2024,4,Requested,Initial Submission,9/26/2024,9/12/2024,,,#N/D
PP00055-09,5/20/2024,Approved 2025,VEN329,5672,Philippines,61,1337024036 / 3,10/6/2024,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,#N/D
PP00055-17,5/20/2024,Approved 2025,VEN329,5680,Philippines,19,1337422988 / 3,10/6/2024,4,Requested,Initial Submission,9/2/2024,2/9/2024,,,#N/D
PP00055-31,5/20/2024,Approved 2025,VEN329,5693,Philippines,19,1337036024 / 1,10/6/2024,4,Requested,Initial Submission,9/10/2024,10/9/2024,,,#N/D
PP00055-02,5/20/2024,Approved 2025,VEN329,5665,Philippines,61,1336179526 / 3,10/6/2024,4,Requested,Initial Submission,9/26/2024,9/26/2024,,,#N/D
PP00055-20,5/20/2024,Approved 2025,VEN329,5683,Philippines,19,1337423803 / 3,10/6/2024,4,Requested,Initial Submission,9/27/2024,9/12/2024,,,#N/D
PP00055-22,5/20/2024,Approved 2025,VEN329,5684,Philippines,19,1337424298 / 3,10/6/2024,4,Requested,Initial Submission,9/30/2024,9/12/2024,,,#N/D
PP00055-23,5/20/2024,Approved 2025,VEN329,5685,Philippines,19,1337424348 / 3,10/6/2024,4,Requested,Initial Submission,9/30/2024,9/12/2024,,,#N/D
PP00055-24,5/20/2024,Approved 2025,VEN329,5686,Philippines,19,1337424421 / 3,10/6/2024,4,Requested,Initial Submission,9/30/2024,9/12/2024,,,#N/D
PP00055-15,5/20/2024,Approved 2025,VEN329,5678,Philippines,19,1337421571 / 3,10/7/2024,4,Requested,Initial Submission,9/30/2024,9/12/2024,,,#N/D
PP00055-13,5/20/2024,Approved 2025,VEN329,5676,Philippines,61,1337421163 / 3,8/14/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,0
PP00055-14,5/20/2024,Approved 2025,VEN329,5677,Philippines,61,1337421477 / 3,8/14/2024,4,Requested,Initial Submission,9/2/2024,9/12/2024,,,#N/D
PP00028-12,5/23/2024,PSW Pending Approve,VEN238,52,North America,,1128116908/1,5/24/2024,1,n/a,Annual Validation,5/24/2024,,,,#N/D
PP00028-14,5/23/2024,PSW Pending Approve,VEN238,5470,North America,,1128116087/1,5/24/2024,1,n/a,Annual Validation,5/24/2024,,,,#N/D
PP00028-81,5/23/2024,PSW Pending Approve,VEN025,5472,North America,,,5/30/2024,1,n/a,Annual Validation,5/30/2024,,,,#N/D
PP00028-82,5/23/2024,PSW Pending Approve,VEN025,5474,North America,,,5/30/2024,1,n/a,Annual Validation,5/30/2024,,,,#N/D
PP00028-83,5/23/2024,PSW Pending Approve,VEN025,5475,North America,,,5/30/2024,1,n/a,Annual Validation,5/30/2024,,,,#N/D
PP00034-31,5/28/2024,Approved 2024,VEN329,4805,Mexico,21,1329810757,3/6/2024,4,Requested,Initial Submission,6/4/2024,6/6/2024,,,#N/D
PP00034-32,5/28/2024,Approved 2024,VEN025,4751,Mexico,,,6/18/2024,1,n/a,Annual validation,6/21/2024,6/25/2024,,,#N/D
PP00026-41,5/30/2024,Approved 2024,VEN329,5650,Mexico,19,1334612684,6/18/2024,4,requested,Initial Submission,6/21/2024,6/25/2024,,,#N/D
PP00056-01,6/5/2024,Approved 2025,VEN329,4381,Mexico,3,1340272127 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,4/30/2025,,,#N/D
PP00056-02,6/5/2024,Approved 2025,VEN329,4382,Mexico,3,1340277016 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,4/30/2025,,,#N/D
PP00056-03,6/5/2024,Approved 2025,VEN329,5590,Mexico,3,1340277239 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,4/30/2025,,,#N/D
PP00056-04,6/5/2024,Approved 2025,VEN329,4379,Mexico,3,1340277319 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,4/30/2025,,,#N/D
PP00056-05,6/5/2024,Approved 2025,VEN329,4380,Mexico,3,1340277530 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,4/30/2025,,,#N/D
PP00056-06,6/5/2024,PSW Pending Approve,VEN329,5591,Mexico,3,1340277608 / 1,12/7/2024,4,Requested,Initial Submission,7/19/2024,,,,#N/D
PP00028-84,6/12/2024,Approved 2024,VEN329,5414,North America,24,1341636538 / 1,2/7/2024,4,requested,Initial Submission,7/19/2024,7/24/2024,,,#N/D
PP00034-33,6/12/2024,Approved 2024,VEN025,4748,Mexico,,,9/7/2024,1,n/a,Annual validation,7/25/2024,8/8/2024,,,#N/D
PP00058-01,6/12/2024,PSW Pending Approve,VEN238,4303,Mexico,8,1375318365 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00058-02,6/12/2024,PSW Pending Approve,VEN238,4301,Mexico,8,1375318996 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00058-03,6/12/2024,PSW Pending Approve,VEN238,4299,Mexico,25,1375319526 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00058-04,6/12/2024,PSW Pending Approve,VEN238,4297,Mexico,25,1376102724 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00058-05,6/12/2024,PSW Pending Approve,VEN238,4305,Mexico,25,1376103257 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00058-06,6/12/2024,PSW Pending Approve,VEN238,4295,Mexico,25,1376103568 / 1,,4,requested,Initial Submission,12/3/2024,,,,#N/D
PP00059-01,6/13/2024,Approved 2024,VEN238,46,North America,42,1151962414 / 1,6/28/2024,4,rejected,Initial Submission,7/30/2024,,,,#N/D
PP00059-08,6/13/2024,PSW Pending Approve,VEN329,53,North America,62,1194209127 / 1,2/7/2024,4,requested,Initial Submission,7/30/2024,,,,#N/D
PP00059-06,6/13/2024,PSW Pending Approve,VEN238,50,North America,12,1134426525 / 1,,4,approved,Initial Submission,7/30/2024,,,,#N/D
PP00028-16,6/15/2024,Approved 2024,VEN329,5321,North America,,1229352086,,1,n/a,Annual validation,7/25/2024,3/9/2024,,,#N/D
PP00028-13,6/17/2024,PSW Pending Approve,VEN238,5317,North America,48,1128115723/1,,1,n/a,Annual validation,7/24/2024,,,,#N/D
PP00026-01,6/18/2024,Approved 2024,VEN329,5594,Mexico,62,1188884297 / 2,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-02,6/18/2024,Approved 2024,VEN329,5597,Mexico,62,1188884584 / 1,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-03,6/18/2024,Approved 2024,VEN329,5600,Mexico,62,1189258225 / 2,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-04,6/18/2024,Approved 2024,VEN329,5603,Mexico,62,1189263052 / 1,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-05,6/18/2024,Approved 2024,VEN329,5605,Mexico,62,1189263411 / 1,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-06,6/18/2024,Approved 2024,VEN329,5607,Mexico,62,1189992264 / 1,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-07,6/18/2024,Approved 2024,VEN329,5609,Mexico,20,1197575741 / 1,8/7/2024,1,n/a,Annual validation,8/12/2024,8/23/2024,,,
PP00026-42,6/18/2024,PSW Pending Approve,VEN025,5651,Mexico,,,7/31/2024,1,n/a,Annual validation,8/12/2024,,,,#N/D
PP00026-43,6/18/2024,PSW Pending Approve,VEN025,5652,Mexico,,,7/31/2024,1,n/a,Annual validation,8/12/2024,,,,#N/D
PP00036-23,6/19/2024,"PPAP received, pending to review files",VEN329,5194,Mexico,,,7/30/2024,4,requested,Initial Submission,,,,,#N/D
PP00028-85,6/20/2024,Approved 2024,VEN238,5416,North America,11,1342983308,6/27/2024,4,approved,Initial Submission,7/26/2024,1/8/2024,,,#N/D
PP00030-16,6/22/2024,Approved 2024,VEN238,4280,Mexico,38,1331795147,,4,n/a,Initial Submission,6/25/2024,2/7/2024,,,#N/D
PP00047-11,6/24/2024,IMDS sent to customer,VEN025,5519,Mexico,,,,1,n/a,IMDS requested,6/25/2024,,,,#N/D
PP00060-09,6/26/2024,"PPAP received, pending to review files",VEN329,5115,Europe,,,9/24/2023,4,requested,Initial Submission,,,,,#N/D
PP00060-03,6/26/2024,"PPAP received, pending to review files",VEN329,5109,Europe,,,10/26/2023,4,requested,Initial Submission,,,,,#N/D
PP00060-06,6/26/2024,"PPAP received, pending to review files",VEN329,5112,Europe,,,3/22/2024,4,requested,Initial Submission,,,,,#N/D
PP00060-01,6/26/2024,"PPAP received, pending to review files",VEN329,5107,Europe,,,5/31/2024,4,requested,Initial Submission,,,,,PR2025009
PP00060-02,6/26/2024,"PPAP received, pending to review files",VEN329,5108,Europe,,,5/31/2024,4,requested,Initial Submission,,,,,#N/D
PP00060-04,6/26/2024,"PPAP received, pending to review files",VEN329,5110,Europe,,,6/6/2024,4,requested,Initial Submission,,,,,0
PP00060-10,6/26/2024,PSW Pending Approve,VEN238,4462,Europe,50,1363395129 / 1,6/27/2024,4,approved,Initial Submission,10/18/2024,,,,PR2025004
PP00060-05,6/26/2024,"PPAP received, pending to review files",VEN329,5111,Europe,,,7/18/2024,4,requested,Initial Submission,,,,,#N/D
PP00060-07,6/26/2024,"PPAP received, pending to review files",VEN329,5113,Europe,,,7/18/2024,4,requested,Initial Submission,,,,,#N/D
PP00060-08,6/26/2024,"PPAP received, pending to review files",VEN329,5114,Europe,,,7/18/2024,4,requested,Initial Submission,,,,,#N/D
PP00060-11,6/26/2024,PSW Pending Approve,VEN238,4468,Europe,50,1368915686 / 1,,4,approved,Initial Submission,11/6/2024,,,,#N/D
PP00060-12,6/26/2024,PSW Pending Approve,VEN238,4471,Europe,50,1368925860 / 1,,4,approved,Initial Submission,11/6/2024,,,,#N/D
PP00060-13,6/26/2024,PSW Pending Approve,VEN238,4463,Europe,50,1372859424 / 1,,4,approved,Initial Submission,11/20/2024,,,,#N/D
PP00028-20,7/1/2024,Approved 2024,VEN329,4016,North America,21,1132191059 / 1,,1,n/a,Annual validation,8/9/2024,8/30/2024,,,0
PP00034-34,7/4/2024,PSW Pending Approve,VEN329,4779,Mexico,20,1346860713 / 1,7/30/2024,4,requested,Initial Submission,8/13/2024,,,,#N/D
PP00025-05,7/8/2024,Approved 2024,VEN238,76,Mexico,7,1339266626 / 1,10/7/2024,4,requested,Initial Submission,7/10/2024,7/18/2024,,,#N/D
PP00028-21,7/9/2024,Approved 2024,VEN329,5332,North America,21,1134426437 / 1,,1,n/a,Annual validation,8/9/2024,8/14/2024,,,#N/D
PP00061-01,7/11/2024,Approved 2024,VEN329,5695,North America,62,1337022427 / 3,4/6/2024,4,Requested,Initial Submission,9/5/2024,11/9/2024,,,#N/D
PP00034-35,7/15/2024,PSW Pending Approve,VEN025,4759,Mexico,,,8/8/2024,4,requested,Initial Submission,8/13/2024,,,,#N/D
PP00042-0025,7/18/2024,Approved 2024,VEN329,3792,Mexico,58,1346880071 / 1,7/6/2024,4,requested,Initial Submission,8/13/2024,8/19/2024,,,#N/D
PP00062-04,7/20/2024,PSW Pending Approve,VEN329,5707,Brazil,63,1349615847 / 1,6/26/2024,4,Requested,Initial Submission,10/9/2024,,,,#N/D
PP00062-02,7/20/2024,PSW Pending Approve,VEN329,5705,Brazil,63,1349615309 / 1,7/19/2024,4,Requested,Initial Submission,10/9/2024,,,,#N/D
PP00062-03,7/20/2024,PSW Pending Approve,VEN329,5706,Brazil,63,1349615588 / 1,7/19/2024,4,Requested,Initial Submission,10/9/2024,,,,#N/D
PP00062-01,7/20/2024,PSW Pending Approve,VEN329,5704,Brazil,63,1349615142 / 1,8/15/2024,4,Requested,Initial Submission,10/9/2024,,,,#N/D
PP00060-31,7/20/2024,PSW Pending Approve,VEN238,4472,Europe,50,1372860412 / 1,8/21/2024,4,Requested,Initial Submission,11/20/2024,,,,#N/D
PP00053-10,7/22/2024,Approved 2024,VEN238,3969,Mexico,42,1348354161 / 1,8/15/2024,4,requested,Initial Submission,8/21/2024,8/23/2024,,,#N/D
PP00028-18,7/25/2024,PSW Pending Approve,VEN329,5327,North America,27,1229358998 / 1,,1,n/a,Annual validation,8/21/2024,,,,#N/D
PP00028-15,7/28/2024,Approved 2024,VEN329,55,North America,62,1231239934 / 1,,1,n/a,Annual validation,8/21/2024,8/30/2024,,,0
PP00028-22,7/28/2024,Approved 2024,VEN329,5335,North America,27,1202139545 / 1,,1,n/a,Annual validation,8/22/2024,8/30/2024,,,#N/D
PP00026-44,7/30/2024,Approved 2024,VEN329,5653,Mexico,62,1349379444 / 1,8/26/2024,4,requested,Initial submission,8/27/2024,3/9/2024,,,#N/D
PP00042-0024,7/31/2024,Approved 2024,VEN329,3795,Mexico,8,1333037450 / 1,12/8/2024,4,requested,Initial Submission,8/14/2024,8/15/2024,,,#N/D
PP00054-02,8/6/2024,Approved 2024,VEN329,80,Mexico,62,1349381392 / 1,8/15/2024,4,Requested,Initial Submission,9/3/2024,11/11/2024,,,#N/D
PP00054-03,8/6/2024,Approved 2024,VEN329,81,Mexico,62,1349381994 / 1,8/15/2024,4,Requested,Initial Submission,9/3/2024,11/11/2024,,,PR2025009
PP00024-21,8/7/2024,PSW Pending Approve,VEN238,4497,Europe,,949767775 / 1,,1,n/a,Annual Validation,9/6/2024,,,,#N/D
PP00060-14,8/15/2024,PSW Pending Approve,VEN329,4473,Europe,28,1364677600 / 1,8/29/2024,4,requested,Initial Submission,10/23/2024,,,,#N/D
PP00060-15,8/15/2024,PSW Pending Approve,VEN329,4474,Europe,28,1364684164 / 1,8/29/2024,4,requested,Initial Submission,10/23/2024,,,,#N/D
PP00053-03,8/15/2024,IMDS submited to customer,VEN238,3960,Mexico,38,1347277790 / 1,,4,requested,Initial Submission,8/16/2024,,,,#N/D
PP00034-36,8/20/2024,PSW Pending Approve,VEN329,4778,Mexico,20,1349383511 / 1,10/5/2024,4,approved,Initial Submission,9/11/2024,,,,#N/D
PP00028-17,8/21/2024,Approved 2024,VEN329,5324,North America,27,1229357372 / 1,,1,n/a,Annual Validation,9/11/2024,9/17/2024,,,#N/D
PP00028-24,8/22/2024,Approved 2025,VEN238,5339,North America,10,1256829549 / 1,,1,n/a,Annual Validation,9/23/2024,11/2/2025,,,#N/D
PP00056-07,8/28/2024,PSW Pending Approve,VEN238,4378,Mexico,50,1356223993 / 1,5/9/2024,4,approved,Initial Submission,9/24/2024,,,,#N/D
PP00029-16,9/3/2024,PSW Pending Approve,VEN329,5134,Mexico,63,1358903619 / 1,9/9/2024,4,requested,Initial Submission,10/9/2024,,,,#N/D
PP00012-01,9/6/2024,PSW Pending Approve,VEN238,4045,Mexico,45,1076153443 / 2,9/9/2024,2,n/a,Annual Validation,10/3/2024,,,,#N/D
PP00028-25,9/6/2024,Approved 2025,VEN238,5341,North America,45,1257752602 / 1,,1,n/a,Annual Validation,10/4/2024,11/2/2025,,,#N/D
PP00063-0002,9/16/2024,Approved 2024,VEN238,5162,Europe,9,1362695922 / 3,,4,requested,Initial Submission,10/17/2024,11/27/2024,,,#N/D
PP00063-0003,9/16/2024,Approved 2024,VEN329,5163,Europe,62,1362304260 / 1,,4,requested,Initial Submission,10/17/2024,11/27/2024,,,#N/D
PP00060-16,9/25/2024,PSW Pending Approve,VEN329,4466,Europe,28,1371152137 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-17,9/25/2024,PSW Pending Approve,VEN329,4465,Europe,28,1371134175 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-18,9/25/2024,PSW Pending Approve,VEN329,4467,Europe,28,1371156536 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-20,9/25/2024,PSW Pending Approve,VEN329,4464,Europe,28,1371133372 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-21,9/25/2024,PSW Pending Approve,VEN329,4469,Europe,28,1371131587 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-24,9/25/2024,PSW Pending Approve,VEN329,4476,Europe,28,1371160029 / 1,,4,Requested,Initial Submission,11/25/2024,,,,#N/D
PP00060-19,9/25/2024,PSW Pending Approve,VEN329,4470,Europe,28,1371530541 / 1,,4,Requested,Initial Submission,11/27/2024,,,,#N/D
PP00060-27,9/25/2024,PSW Pending Approve,VEN329,5119,Europe,10,1372860646 / 1,,4,Requested,Initial Submission,11/27/2024,,,,#N/D
PP00060-29,9/25/2024,PSW Pending Approve,VEN329,5120,Europe,28,1371531328 / 1,,4,Requested,Initial Submission,11/27/2024,,,,#N/D
PP00060-23,9/25/2024,PSW Pending Approve,VEN329,5117,Europe,2,1371533988 / 1,,4,Requested,Initial Submission,12/17/2024,,,,#N/D
